level,tag,count
floats-group,graphic,95204
floats-group,table-wrap,74195
floats-group,table,72158
floats-group,thead,71363
floats-group,tr,72159
floats-group,th,71099
floats-group,tbody,72143
floats-group,td,72159
floats-group,break,22639
floats-group,sub,24557
floats-group,bold,59451
floats-group,table-wrap-foot,51157
floats-group,fn,50828
floats-group,sc,1324
floats-group,xref,38837
floats-group,title,14900
floats-group,object-id,33583
floats-group,hr,13718
floats-group,underline,1099
floats-group,colgroup,7127
floats-group,col,7730
floats-group,inline-formula,3511
floats-group,{http://www.w3.org/1998/Math/MathML}math,3227
floats-group,{http://www.w3.org/1998/Math/MathML}mrow,3148
floats-group,{http://www.w3.org/1998/Math/MathML}mi,2872
floats-group,{http://www.w3.org/1998/Math/MathML}mo,2644
floats-group,{http://www.w3.org/1998/Math/MathML}mn,2087
floats-group,{http://www.w3.org/1998/Math/MathML}mstyle,981
floats-group,alt-text,657
floats-group,table-wrap-group,303
floats-group,inline-graphic,1456
floats-group,{http://www.w3.org/1998/Math/MathML}msub,1723
floats-group,{http://www.w3.org/1998/Math/MathML}mtext,381
floats-group,uri,1653
floats-group,{http://www.w3.org/1998/Math/MathML}mfrac,421
floats-group,{http://www.w3.org/1998/Math/MathML}msubsup,511
floats-group,{http://www.w3.org/1998/Math/MathML}msup,1070
floats-group,named-content,293
floats-group,ext-link,2103
floats-group,list,1887
floats-group,list-item,1887
floats-group,styled-content,351
floats-group,{http://www.w3.org/1998/Math/MathML}mover,685
floats-group,alternatives,830
floats-group,boxed-text,677
floats-group,{http://www.w3.org/1998/Math/MathML}mtable,82
floats-group,{http://www.w3.org/1998/Math/MathML}mtr,81
floats-group,{http://www.w3.org/1998/Math/MathML}mtd,82
floats-group,{http://www.w3.org/1998/Math/MathML}mspace,179
floats-group,tfoot,86
floats-group,sec,126
floats-group,attrib,33
floats-group,{http://www.w3.org/1998/Math/MathML}msqrt,145
floats-group,{http://www.w3.org/1998/Math/MathML}mfenced,197
floats-group,monospace,129
floats-group,{http://www.w3.org/1998/Math/MathML}munderover,72
floats-group,{http://www.w3.org/1998/Math/MathML}munder,35
floats-group,strike,6
floats-group,disp-formula,27
floats-group,media,23
floats-group,fig-group,51
floats-group,email,26
floats-group,disp-quote,5
floats-group,tex-math,6
floats-group,overline,7
floats-group,{http://www.w3.org/1998/Math/MathML}mroot,8
floats-group,inline-supplementary-material,2
floats-group,array,5
floats-group,{http://www.w3.org/1998/Math/MathML}mmultiscripts,7
floats-group,{http://www.w3.org/1998/Math/MathML}none,7
floats-group,{http://www.w3.org/1998/Math/MathML}mprescripts,6
floats-group,def-list,1
floats-group,def-item,1
floats-group,term,1
floats-group,def,1
floats-group,notes,3
floats-group,{http://www.w3.org/1998/Math/MathML}menclose,2
floats-group,sans-serif,4
floats-group,{http://www.w3.org/1998/Math/MathML}maligngroup,1
floats-group,{http://www.w3.org/1998/Math/MathML}malignmark,1
floats-group,{http://www.w3.org/1998/Math/MathML}semantics,2
floats-group,chem-struct,4
floats-group,{http://www.w3.org/1998/Math/MathML}mlabeledtr,1
floats-group,code,1
floats-group,long-desc,1
floats-group,preformat,1
sub-article,sub-article,5324
sub-article,front-stub,5319
sub-article,article-id,5024
sub-article,title-group,5324
sub-article,article-title,5324
sub-article,contrib-group,5176
sub-article,contrib,5176
sub-article,name,5176
sub-article,surname,5176
sub-article,given-names,5176
sub-article,role,5015
sub-article,permissions,3415
sub-article,copyright-statement,3404
sub-article,copyright-year,3404
sub-article,copyright-holder,3073
sub-article,license,3415
sub-article,license-p,3415
sub-article,ext-link,3813
sub-article,related-article,3618
sub-article,custom-meta-group,3620
sub-article,custom-meta,3620
sub-article,meta-name,3620
sub-article,meta-value,3620
sub-article,p,5248
sub-article,named-content,3080
sub-article,email,3144
sub-article,list,2872
sub-article,list-item,2872
sub-article,bold,4436
sub-article,supplementary-material,2900
sub-article,label,4067
sub-article,caption,3388
sub-article,media,2977
sub-article,{http://www.niso.org/schemas/ali/1.0/}license_ref,1891
sub-article,italic,2418
sub-article,aff,2110
sub-article,institution,1486
sub-article,country,1468
sub-article,boxed-text,1571
sub-article,xref,1477
sub-article,sup,1048
sub-article,disp-quote,1051
sub-article,author-notes,704
sub-article,fn,741
sub-article,pub-date,557
sub-article,day,558
sub-article,month,559
sub-article,year,563
sub-article,fig,606
sub-article,object-id,125
sub-article,title,803
sub-article,graphic,537
sub-article,sub,458
